timestamp,open,high,low,close,volume,delta,cvd_open,cvd_high,cvd_low,cvd_close,ema_8,ema_9,ema_13,ema_21,ema_22,ema_50,ema_100,ema_200,cvd_ema_8,cvd_ema_9,cvd_ema_13,cvd_ema_21,cvd_ema_22,cvd_ema_50,cvd_ema_100,cvd_ema_200
2025-07-14 14:22:00+00:00,6299.25,6299.75,6298.5,6299.0,2103,-373,1301,1310,927,927,6296.156253300755,6295.843920996071,6294.832585254026,6293.589393775475,6293.481242742566,6292.1316893132735,6291.770253120594,6291.764674347934,91.1639540808841,-3.657471695909935,-308.55747705364865,-706.8679703324265,-743.9529971406305,-1247.5783899151836,-1383.5306585868652,-1363.2412324100674
2025-07-14 14:23:00+00:00,6299.25,6299.75,6298.25,6298.25,1588,218,928,1253,916,1145,6296.621530345032,6296.325136796857,6295.320787360593,6294.013085250432,6293.895917286691,6292.371623065695,6291.898564939988,6291.829204951437,325.34974206290985,226.07402264327206,-100.90640890312746,-538.5163366658422,-579.6962147805757,-1153.751786389098,-1333.460744555442,-1338.283608206982
2025-07-14 14:24:00+00:00,6298.25,6298.5,6296.75,6298.0,1842,-492,1144,1150,561,653,6296.9278569350245,6296.6601094374855,6295.703532023366,6294.375532045847,6294.252794044371,6292.592343729785,6292.019385436226,6291.890605897193,398.16091049337433,311.45921811461767,6.7945066544621655,-430.19666969622017,-472.5052395822648,-1082.898775158153,-1294.1248882276116,-1318.4698409611415
2025-07-14 14:25:00+00:00,6298.0,6298.25,6294.0,6294.5,3512,-694,655,734,-123,-41,6296.388333171685,6296.228087549989,6295.531598877172,6294.386847314406,6294.2742902144255,6292.667153779597,6292.068506516696,6291.91657001762,300.56959705040225,240.96737449169416,-0.03328001046100018,-394.81515426929104,-434.98304483598093,-1042.039999661755,-1269.3105340052825,-1305.7586982650107
2025-07-14 14:26:00+00:00,6294.5,6295.5,6294.0,6295.25,1696,160,-38,126,-58,119,6296.135370244644,6296.0324700399915,6295.491370466148,6294.465315740369,6294.359134543606,6292.768441866672,6292.131506387653,6291.949738475157,260.2207977058684,216.57389959335535,16.971474276747713,-348.10468569935546,-386.8106061545913,-996.5090192828627,-1241.8192363022076,-1291.5819947996872
2025-07-14 14:27:00+00:00,6295.0,6295.0,6291.25,6292.25,3826,-1260,110,110,-1342,-1141,6295.271954634723,6295.275976031993,6295.028317542413,6294.263923400335,6294.1757315398145,6292.748110813078,6292.133852795818,6291.952726152021,-51.16160178432457,-54.940880325315725,-148.45302204850196,-420.18607790850496,-452.3922925759312,-1002.1753322521622,-1239.822815781372,-1290.0836664932226
2025-07-14 14:28:00+00:00,6292.25,6292.25,6288.25,6289.25,4127,-861,-1157,-1157,-2304,-2002,6293.933742493674,6294.070780825595,6294.202843607783,6293.808112182123,6293.747407058092,6292.610929996878,6292.076746799861,6291.9258333544885,-484.6812458322524,-444.3527042602526,-413.24544747014454,-563.9873435531863,-587.1407888736763,-1041.3841427520774,-1254.9154332906517,-1297.1674111052305
2025-07-14 14:29:00+00:00,6289.0,6289.75,6288.25,6289.25,2485,-427,-2003,-2003,-2499,-2429,6292.892910828413,6293.106624660476,6293.495294520957,6293.393738347385,6293.356328183476,6292.479128820531,6292.020771615706,6291.899208146981,-916.7520800917518,-841.2821634082021,-701.2103835458382,-733.5339486847148,-747.3024594064002,-1095.800450879447,-1278.1646326314308,-1308.4294269151287
2025-07-14 14:30:00+00:00,6289.25,6291.0,6287.5,6290.25,3904,462,-2433,-1953,-2573,-1967,6292.305597310988,6292.535299728382,6293.031681017964,6293.107943952168,6293.086212689261,6292.39171200404,6291.985706831236,6291.882798115668,-1150.1405067380292,-1066.4257307265618,-882.0374716107185,-845.6672260770134,-853.3631151101915,-1129.965139080253,-1291.8049369357589,-1314.982367940849
2025-07-14 14:31:00+00:00,6290.25,6291.5,6289.25,6289.75,2266,-60,-1966,-1866,-2042,-2027,6291.737686797434,6291.978239782706,6292.562869443969,6292.802676320152,6292.796107238021,6292.288115454861,6291.941435408835,6291.861576243871,-1344.998171907356,-1258.5405845812495,-1045.6035470949016,-953.0611146154667,-955.4184964049575,-1165.1429767633804,-1306.3632550162388,-1322.0671204986515
2025-07-14 14:32:00+00:00,6289.25,6289.5,6286.0,6287.75,4144,-686,-2030,-2023,-2891,-2713,6290.851534175782,6291.1325918261655,6291.87531666626,6292.3433421092295,6292.357315304281,6292.110150142906,6291.858436687868,6291.820665037465,-1648.9985781501657,-1549.4324676649996,-1283.8030403670587,-1113.0555587413335,-1108.2516706306135,-1225.8432521844243,-1334.2174479862142,-1335.907248652894
2025-07-14 14:33:00+00:00,6287.5,6289.25,6286.75,6287.0,1890,36,-2726,-2434,-2728,-2677,6289.995637692275,6290.306073460933,6291.178842856794,6291.857583735663,6291.891461799561,6291.909752098086,6291.762230020781,6291.7726982211725,-1877.44333856124,-1774.9459741319997,-1482.8311774574788,-1255.232326128485,-1244.664568836647,-1282.7513599418978,-1360.8072014914376,-1349.2514551339598
