timestamp,ha_open,ha_high,ha_low,ha_close,volume,delta,ha_cvd_open,ha_cvd_high,ha_cvd_low,ha_cvd_close,ha_ema_8,ha_ema_9,ha_ema_13,ha_ema_21,ha_ema_22,ha_ema_50,ha_ema_100,ha_ema_200,ha_cvd_ema_8,ha_cvd_ema_9,ha_cvd_ema_13,ha_cvd_ema_21,ha_cvd_ema_22,ha_cvd_ema_50,ha_cvd_ema_100,ha_cvd_ema_200
2025-07-14 13:53:00+00:00,6293.3125,6294.894431576133,6294.894431576133,6291.5,3228,-326,-1267.0,-1041.6208292543888,-1020.0,-1653.0,6289.564333716509,6289.2889497007545,6288.665255338469,6288.478224360671,6288.493549043434,6289.270247929293,6290.043350868509,6290.582877201896,-2577.973598029669,-2647.1312145253414,-2768.4569094167687,-2698.090929307768,-2679.628997171492,-2198.39239485557,-1802.5114810841985,-1536.6858974332551
2025-07-14 13:54:00+00:00,6294.125,6294.103465788066,6295.0,6293.25,1385,327,-1210.0,-1154.3104146271944,-1042.0,-1376.0,6290.383370668396,6290.081159760604,6289.320218861545,6288.912022146064,6288.90715347444,6289.426316637949,6290.106848871113,6290.609415737201,-2310.868354023076,-2392.904971620273,-2569.5344937858017,-2577.9008448252434,-2566.2699539391883,-2166.141712704371,-1794.065709181541,-1535.087032782178
2025-07-14 13:55:00+00:00,6292.75,6294.114232894033,6295.0,6290.25,2753,-753,-1434.25,-1182.1552073135972,-1017.0,-1872.0,6290.353732742086,6290.114927808484,6289.453044738468,6289.033656496422,6289.023922737532,6289.458617946265,6290.109683546932,6290.605839461209,-2213.342053129059,-2288.7239772962184,-2469.8867089592586,-2513.728040750221,-2505.8986535966505,-2154.6067435787095,-1795.608962465075,-1538.4394006151913
2025-07-14 13:56:00+00:00,6291.0625,6293.432116447017,6293.432116447017,6289.5,2799,-351,-1981.75,-1308.2026036567986,-1308.2026036567986,-2302.0,6290.164014354956,6289.991942246787,6289.459752632973,6289.076051360384,6289.065320760356,6289.460240771902,6290.097610605408,6290.594836083486,-2233.043819100379,-2291.379181836975,-2445.90289339365,-2494.4800370456555,-2488.1683358925943,-2160.386871281505,-1805.636507762796,-1546.037018519518
2025-07-14 13:57:00+00:00,6290.0,6292.247308223508,6292.247308223508,6288.5,1828,-432,-2324.25,-1644.9763018283993,-1644.9763018283993,-2589.0,6289.794233387188,6289.6935537974305,6289.322645113977,6289.023683054894,6289.01616243337,6289.422584271043,6290.065974751835,6290.573991943353,-2312.145192633628,-2350.90334546958,-2466.3453371945575,-2503.0727609505957,-2496.9363066845426,-2177.195229270466,-1821.1486561239287,-1556.4147596287764
2025-07-14 13:58:00+00:00,6288.875,6291.123654111754,6291.123654111754,6287.5,2718,142,-2576.75,-1984.6131509141997,-1984.6131509141997,-2918.0,6289.284403745591,6289.254843037945,6289.0622672405525,6288.88516641354,6288.884322221773,6289.347188809434,6290.01516337061,6290.543404958842,-2446.7795942706,-2464.3226763756643,-2530.8674318810495,-2540.793419045996,-2533.5505408858867,-2206.2463967500557,-1842.8684847155341,-1569.9628714732662
2025-07-14 13:59:00+00:00,6289.25,6289.999327055877,6290.25,6288.25,1722,36,-2371.5,-2280.6815754571,-2192.0,-2453.0,6289.054536246571,6289.053874430356,6288.946229063331,6288.827424012309,6288.829163767706,6289.3041617972995,6289.980209640499,6290.520585009003,-2448.161906654911,-2462.0581411005314,-2519.7435130409,-2532.8121991327234,-2526.5461460262445,-2215.9230086422103,-1854.950296899385,-1578.7493105630845
2025-07-14 14:00:00+00:00,6289.125,6289.6246635279385,6291.0,6287.75,3231,331,-2178.0,-2326.09078772855,-1879.0,-2391.0,6288.764639302888,6288.793099544285,6288.775339197141,6288.729476374826,6288.73532344008,6289.243214275837,6289.936047073361,6290.493016998964,-2435.4592607315976,-2447.8465128804255,-2501.351582606486,-2519.9201810297486,-2514.759524632658,-2222.7887730091825,-1865.5651425053377,-1586.8314069753922
2025-07-14 14:01:00+00:00,6287.375,6289.374831763969,6289.374831763969,6285.75,3837,-523,-2377.75,-2252.045393864275,-2073.0,-2768.0,6288.094719457802,6288.184479635428,6288.3431478832645,6288.458614886205,6288.475730097464,6289.106225480707,6289.853155052107,6290.445822799969,-2509.357202791243,-2511.8772103043407,-2539.444213662702,-2542.472891845226,-2536.7804355341664,-2244.169605440195,-1883.4351396834497,-1598.5843282990202
2025-07-14 14:02:00+00:00,6287.9375,6288.374915881985,6289.75,6286.25,2571,589,-2280.0,-2314.8976969321375,-1907.0,-2606.0,6287.684781800513,6287.797583708343,6288.044126757084,6288.257831714732,6288.282188349859,6288.994216638326,6289.7818054471145,6290.404073319373,-2530.8333799487446,-2530.7017682434725,-2548.952183139459,-2548.24808349566,-2542.799528096413,-2258.3590326778344,-1897.743354739223,-1608.6083648333583
2025-07-14 14:03:00+00:00,6288.75,6288.156207940992,6289.5,6287.75,1326,-34,-1986.25,-2297.4488484660687,-1858.0,-2297.4488484660687,6287.699274733732,6287.788066966675,6288.00210864893,6288.21166519521,6288.235911102046,6288.94542382898,6289.741571675884,6290.377664629628,-2478.970150730372,-2484.051184287992,-2513.023135328975,-2525.448153038424,-2521.4646863894263,-2259.891966630314,-1905.6583150110416,-1615.462498998858
2025-07-14 14:04:00+00:00,6289.8125,6288.453103970496,6291.0,6288.453103970496,2331,497,-1794.5,-2141.8494242330344,-1545.0,-2141.8494242330344,6287.866792341902,6287.921074367439,6288.066536552011,6288.233614174781,6288.254797438433,6288.926117167863,6289.7160574638965,6290.358514772323,-2404.054433730964,-2415.6108322770006,-2459.9983194581264,-2490.575541328843,-2488.4546635932184,-2255.262847320617,-1910.335366678804,-1620.7001798469594
2025-07-14 14:05:00+00:00,6289.6875,6289.132801985248,6291.0,6288.25,2277,61,-1481.75,-1968.1747121165172,-1307.0,-1968.1747121165172,6287.951949599257,6287.986859493952,6288.09274561601,6288.235103795255,6288.254380269875,6288.899602769123,6289.687026623027,6290.337534525833,-2307.192273372198,-2326.123608244904,-2389.737804123611,-2443.0845568549953,-2443.212928682201,-2244.004489077319,-1911.4807002518278,-1624.1576378794923
2025-07-14 14:06:00+00:00,6289.25,6289.410150992624,6290.5,6287.75,1457,-97,-1550.0,-1724.9623560582586,-1480.0,-1724.9623560582586,6287.907071910533,6287.939487595162,6288.0437819565805,6288.191003450232,6288.210521115973,6288.854520307589,6289.648669660195,6290.311787913635,-2177.807847302434,-2205.891357807575,-2294.769882971418,-2377.8007204189284,-2380.7563571496844,-2223.649895625591,-1907.7872676935392,-1625.1606699011716
2025-07-14 14:07:00+00:00,6291.3125,6289.330075496312,6292.75,6289.330075496312,3074,808,-1145.0,-1637.4811780291293,-649.0,-1637.4811780291293,6288.223294929595,6288.217605175392,6288.227538176542,6288.29455545442,6288.307873670786,6288.873169530677,6289.64236086487,6290.302019630876,-2057.7352541305886,-2092.2093218518858,-2200.8714965510912,-2310.4989438380376,-2316.123732878332,-2200.6628870923964,-1902.4346718586003,-1625.2832620218478
2025-07-14 14:08:00+00:00,6291.3125,6290.3212877481565,6292.75,6290.0,1926,-174,-844.0,-1391.2405890145646,-689.0,-1391.2405890145646,6288.618118278574,6288.574084140314,6288.480747008465,6288.449595867654,6288.455015090718,6288.917358960846,6289.649442827942,6290.29901446042,-1909.6253285492498,-1952.0155752844216,-2085.2099383315876,-2226.930002490449,-2235.699111672787,-2168.9208361873834,-1892.3120167527777,-1622.954479205855
2025-07-14 14:09:00+00:00,6290.6875,6290.816893874078,6291.75,6289.75,1132,80,-921.0,-1117.6202945072823,-837.0,-1117.6202945072823,6288.869647550002,6288.809267312252,6288.662068864399,6288.567814425141,6288.567622474135,6288.950011550617,6289.651434059072,6290.2935516299685,-1733.624209873257,-1785.1365191289938,-1946.9828463566869,-2126.0836654010704,-2138.4748667018735,-2127.6933639646345,-1876.9715866093024,-1617.9262783630832
2025-07-14 14:10:00+00:00,6291.0625,6290.752196937039,6292.5,6290.25,1439,137,-793.25,-1019.3101472536412,-642.0,-1019.3101472536412,6289.1763925388905,6289.097413849802,6288.888916169485,6288.720740386491,6288.713916172036,6289.000991489809,6289.663286849981,6290.293118280417,-1574.8877515133424,-1631.9712447539234,-1814.458175056252,-2025.4678910240314,-2041.1561954455055,-2084.227355466164,-1859.9881917705763,-1611.969898949059
2025-07-14 14:11:00+00:00,6290.625,6290.90734846852,6291.5,6289.75,800,-34,-759.75,-906.2800736268206,-737.0,-906.2800736268206,6289.303860863582,6289.227931079842,6289.0119281452735,6288.814309442265,6288.804010417946,6289.030364372562,6289.66500394206,6290.287714118423,-1426.30826753856,-1486.8330105285029,-1684.718446280619,-1923.7235439879212,-1942.4713152873592,-2038.033344413641,-1841.102882500403,-1604.9481096423701
2025-07-14 14:12:00+00:00,6288.5,6290.76617423426,6291.0,6286.0,4455,-1337,-1431.75,-833.0150368134102,-755.0,-2106.0,6288.569669560564,6288.582344863874,6288.581652695949,6288.558463129331,6288.560183425082,6288.91152655403,6289.592429606574,6290.245050296349,-1577.3508747522133,-1610.6664084228023,-1744.9015253833877,-1940.29413089811,-1956.6912009145453,-2040.6987034562435,-1846.3483699756425,-1609.9337005912023
2025-07-14 14:13:00+00:00,6288.3125,6289.63308711713,6291.5,6284.75,4690,-340,-2444.5,-1132.382518406705,-1132.382518406705,-3131.0,6287.720854102661,6287.8158758910995,6288.034273739385,6288.212239208483,6288.2288631272495,6288.748329434265,6289.496539911394,6290.190373178973,-1922.606235918388,-1914.733126738242,-1942.915593185761,-2048.5401189982817,-2058.805009530672,-2083.4556170461947,-1871.7870161147387,-1625.0686886450212
2025-07-14 14:14:00+00:00,6291.125,6288.972793558565,6292.0,6288.972793558565,1863,205,-2374.75,-1788.4412592033525,-1788.4412592033525,-2583.0,6287.99906287064,6288.047259424593,6288.168347999268,6288.281380513035,6288.293552729973,6288.757131948943,6289.486168696487,6290.178257958869,-2069.3604057143016,-2048.386501390594,-2034.3562227306525,-2097.1273809075287,-2104.3871826149616,-2103.0455928483048,-1885.8704415382092,-1634.6003434843742
2025-07-14 14:15:00+00:00,6292.9375,6290.048896779283,6294.0,6290.048896779283,3452,1122,-1673.5,-2081.595629601676,-1114.0,-2233.0,6288.454581517005,6288.4475868955315,6288.436997824985,6288.442063809967,6288.446191342957,6288.8077893932705,6289.497311826839,6290.176970782953,-2105.7247600000123,-2085.309201112475,-2062.7339051977024,-2109.4794371886624,-2115.5709058658344,-2108.1418441091555,-1892.7442941810168,-1640.5545689223406
2025-07-14 14:16:00+00:00,6294.125,6291.493198389641,6295.25,6291.493198389641,2671,761,-732.75,-1877.547814800838,-348.0,-1877.547814800838,6289.129829710924,6289.056709194354,6288.873597905651,6288.719439680846,6288.711148477451,6288.913099549991,6289.536834333033,6290.190067575059,-2055.0187721779735,-2043.7569238501476,-2036.2787494267218,-2088.3947442443146,-2094.8732457732262,-2099.0989409990257,-1892.4433737972508,-1642.9127106723756
2025-07-14 14:17:00+00:00,6295.625,6292.809099194821,6297.25,6292.809099194821,2791,477,-40.75,-1305.148907400419,422.0,-1305.148907400419,6289.94744515179,6289.807187194448,6289.435812375533,6289.09122690939,6289.067492018093,6289.065883849788,6289.6016316570285,6290.216127591177,-1888.381024449628,-1896.0353205602019,-1931.83162913725,-2017.1905772585058,-2026.2015641755909,-2067.963645563786,-1880.8137804032542,-1639.5518768089732
2025-07-14 14:18:00+00:00,6295.6875,6294.217049597411,6296.5,6294.217049597411,1414,-88,80.75,-672.9494537002095,155.0,-672.9494537002095,6290.896246139706,6290.68915967504,6290.118846264373,6289.557210790119,6289.515279633686,6289.267890349695,6289.693026071689,6290.255937760393,-1618.285119838646,-1651.4181471882034,-1751.9913183605302,-1894.986838753206,-1908.5274676125143,-2013.2572066671753,-1856.895674923986,-1629.933942250677
2025-07-14 14:19:00+00:00,6295.1875,6294.952274798705,6296.0,6294.0,1528,-444,-209.75,-296.09972685010473,24.0,-479.0,6291.585969219771,6291.3513277400325,6290.673296798034,6289.961100718289,6289.905255317713,6289.453463277158,6289.7783126841305,6290.293192111036,-1365.1106487633915,-1416.934517750563,-1570.1354157375974,-1766.2607625029145,-1784.2207312983828,-1953.0902573861097,-1829.610612054204,-1618.4818632233073
2025-07-14 14:20:00+00:00,6295.375,6295.069887399352,6296.0,6294.25,1537,275,-270.0,-252.92486342505237,-133.0,-407.0,6292.177976059822,6291.931062192027,6291.184254398316,6290.3510006529905,6290.28305920313,6289.641562756486,6289.866860947811,6290.332563333812,-1152.1971712604156,-1214.9476142004505,-1403.9732134893693,-1642.6916022753767,-1664.462406837654,-1892.45926690038,-1801.4401048848138,-1606.427317320588
2025-07-14 14:21:00+00:00,6297.625,6295.222443699677,6299.5,6295.222443699677,6435,1433,643.0,-261.46243171252615,1536.0,-261.46243171252615,6292.854524424234,6292.589338493557,6291.761138584225,6290.79385911178,6290.712570898482,6289.86042083269,6289.972912091412,6290.38121885984,-954.2561180275513,-1024.2505777028657,-1240.757387521249,-1517.1253140423903,-1542.4624090006864,-1828.4986066969348,-1770.9454974952635,-1593.0445821404082
2025-07-14 14:22:00+00:00,6299.125,6296.423721849838,6299.75,6296.423721849838,2103,-373,1116.25,190.76878414373692,1310.0,190.76878414373692,6293.647679407702,6293.356215164814,6292.427221907884,6291.30566481524,6291.20919272034,6290.1178051863035,6290.100650898509,6290.441343267701,-699.8061397672651,-781.2467053335453,-1036.2536487119653,-1361.8622142072877,-1391.7466530750844,-1749.3116501933791,-1732.0996701360752,-1575.295195411213
2025-07-14 14:23:00+00:00,6298.875,6297.774360924919,6299.75,6297.774360924919,1588,218,1060.5,653.5093920718684,1253.0,653.5093920718684,6294.564719744862,6294.239844316835,6293.191098910318,6291.893728097938,6291.780076912043,6290.418062274092,6290.252605552498,6290.514308617525,-399.06935491412435,-494.29548585246255,-794.8589285999891,-1178.6466136364552,-1213.8983013231755,-1655.0833740261146,-1684.8598867260168,-1553.1180353367545
2025-07-14 14:24:00+00:00,6297.875,6298.32468046246,6298.5,6296.75,1842,-492,877.0,857.0046960359342,1150.0,561.0,6295.050337579337,6294.741875453468,6293.699513351701,6292.335207361762,6292.212244137083,6290.666373557461,6290.3812668286855,6290.576355297948,-185.7206093776523,-283.2363886819701,-601.1647959428478,-1020.4969214876864,-1059.5593185994212,-1568.1781436721494,-1640.3874137215412,-1532.0820349851451
2025-07-14 14:25:00+00:00,6296.1875,6298.09984023123,6298.25,6294.0,3512,-694,306.25,867.002348017967,867.002348017967,-123.0,6294.816929228373,6294.593500362776,6293.742440015744,6292.486552147056,6292.367701168641,6290.797104006188,6290.452924911286,6290.610421414386,-171.78269618261845,-251.1891109455761,-532.8555393795839,-938.906292261533,-978.1193778516455,-1511.504490979124,-1610.3401382023028,-1518.061318219124
2025-07-14 14:26:00+00:00,6294.8125,6297.143670115614,6297.143670115614,6294.0,1696,160,37.25,586.6261740089835,586.6261740089835,-58.0,6294.635389399846,6294.474800290221,6293.77923429921,6292.624138315505,6292.509640197455,6290.922707770652,6290.523164021954,6290.644148564492,-146.49765258648102,-212.55128875646088,-465.0190337539291,-858.8239020559391,-898.1089971688938,-1454.5043148622958,-1579.6007295250295,-1503.5333449035109
2025-07-14 14:27:00+00:00,6293.375,6295.978085057807,6295.978085057807,6291.25,3826,-1260,-565.75,311.93808700449176,311.93808700449176,-1342.0,6293.883080644325,6293.829840232177,6293.417915113609,6292.499216650459,6292.400106267242,6290.9355427600385,6290.537556813598,6290.650176936985,-412.16484090059635,-438.4410310051687,-590.3020289319393,-902.7490018690355,-936.7082148063813,-1450.0923809461274,-1574.8957645839398,-1501.926047939297
2025-07-14 14:28:00+00:00,6290.5,6294.676542528903,6294.676542528903,6288.25,4127,-861,-1655.0,-126.90595649775412,-126.90595649775412,-2304.0,6292.631284945586,6292.713872185742,6292.6796415259505,6292.112924227689,6292.039227461396,6290.830227357685,6290.492258658873,6290.626294579403,-832.5726540337971,-811.552824804135,-835.1160247988051,-1030.1354562445777,-1055.6031526493048,-1483.5789542423577,-1589.333472215941,-1509.9068832831847
2025-07-14 14:29:00+00:00,6289.0625,6292.588271264452,6292.588271264452,6288.25,2485,-427,-2233.5,-890.9529782488771,-890.9529782488771,-2499.0,6291.65766606879,6291.821097748594,6292.046835593672,6291.761749297899,6291.709729421275,6290.729041971109,6290.447857497311,6290.60264985722,-1202.8898420262865,-1149.042259843308,-1072.813735541833,-1163.6685965859797,-1181.115921984148,-1523.3993874093242,-1607.3466707859222,-1519.748605837581
2025-07-14 14:30:00+00:00,6289.5,6290.825385632226,6291.0,6287.5,3904,462,-2231.5,-1562.2264891244386,-1562.2264891244386,-2573.0,6290.733740275726,6290.9568781988755,6291.397287651719,6291.374317543544,6291.343665993339,6290.602412874203,6290.389484081523,6290.571777719338,-1507.358766020445,-1433.8338078746465,-1287.126059035857,-1291.7896332599814,-1302.1493200724829,-1564.5601957462134,-1626.4685188891713,-1530.2287192123315
